srr,spots,biosample,sample_acc
SRR28246023,28148,,SRS20676241
SRR28246022,19215,,SRS20676240
SRR28246021,25122,,SRS20676243
SRR28246025,26787,,SRS20676238
SRR28246037,18585,,SRS20676227
SRR28246024,30817,,SRS20676239
SRR28246020,26426,,SRS20676242
SRR28246019,35536,,SRS20676244
SRR28246029,34115,,SRS20676235
SRR28246036,26139,,SRS20676226
SRR28246031,28438,,SRS20676233
SRR28246018,36459,,SRS20676245
SRR28246035,29716,,SRS20676232
SRR28246026,44850,,SRS20676237
SRR28246032,33329,,SRS20676230
SRR28246027,42775,,SRS20676234
SRR28246030,54424,,SRS20676231
SRR28246033,37373,,SRS20676229
SRR28246040,52567,,SRS20676221
SRR28246034,33330,,SRS20676228
SRR28246038,102381,,SRS20676224
SRR28246028,108803,,SRS20676236
SRR28246039,99208,,SRS20676225
SRR28246041,118060,,SRS20676223
SRR28246042,166598,,SRS20676222
SRR28246052,58031,,SRS20676211
SRR28246051,59575,,SRS20676212
SRR28246043,98243,,SRS20676220
SRR28246044,74136,,SRS20676219
SRR28246047,76989,,SRS20676215
SRR28246045,92331,,SRS20676218
SRR28246046,93119,,SRS20676216
SRR28246048,83825,,SRS20676217
SRR28246049,100648,,SRS20676214
SRR28246061,51290,,SRS20676203
SRR28246055,70356,,SRS20676210
SRR28246057,94209,,SRS20676207
SRR28246053,89491,,SRS20676209
SRR28246060,74993,,SRS20676204
SRR28246058,86814,,SRS20676205
SRR28246054,87802,,SRS20676208
SRR28246062,62389,,SRS20676200
SRR28246059,107882,,SRS20676202
SRR28246064,56652,,SRS20676197
SRR28246066,46616,,SRS20676196
SRR28246063,121630,,SRS20676201
SRR28246065,103858,,SRS20676199
SRR28246056,166204,,SRS20676206
SRR28246067,71839,,SRS20676198
SRR28246070,76479,,SRS20676193
SRR28246068,75034,,SRS20676195
SRR28246050,266106,,SRS20676213
SRR28246072,95058,,SRS20676190
SRR28246076,81037,,SRS20676187
SRR28246073,123034,,SRS20676192
SRR28246078,91912,,SRS20676186
SRR28246081,89545,,SRS20676182
SRR28246074,85549,,SRS20676188
SRR28246069,134194,,SRS20676194
SRR28246100,95162,,SRS20676162
SRR28246101,96457,,SRS20676164
SRR28246102,98949,,SRS20676160
SRR28246103,54499,,SRS20676159
SRR28246104,115120,,SRS20676158
SRR28246105,98058,,SRS20676161
SRR28246106,96415,,SRS20676157
SRR28246075,120433,,SRS20676189
SRR28246107,74806,,SRS20676156
SRR28246108,68881,,SRS20676155
SRR28246109,107065,,SRS20676153
SRR28246110,82404,,SRS20676154
SRR28246112,38081,,SRS20676150
SRR28246111,93917,,SRS20676152
SRR28246113,34223,,SRS20676151
SRR28246114,32559,,SRS20676148
SRR28246116,28616,,SRS20676147
SRR28246117,30090,,SRS20676146
SRR28246115,97974,,SRS20676149
SRR28246118,36464,,SRS20676143
SRR28246119,34412,,SRS20676144
SRR28246120,35087,,SRS20676145
SRR28246121,33580,,SRS20676142
SRR28246122,33281,,SRS20676141
SRR28246123,38454,,SRS20676139
SRR28246125,28076,,SRS20676138
SRR28246124,29872,,SRS20676140
SRR28246127,36061,,SRS20676136
SRR28246128,25253,,SRS20676135
SRR28246126,96076,,SRS20676137
SRR28246130,23753,,SRS20676134
SRR28246129,32242,,SRS20676133
SRR28246131,32384,,SRS20676132
SRR28246132,36864,,SRS20676131
SRR28246133,36821,,SRS20676129
SRR28246134,45831,,SRS20676130
SRR28246135,34484,,SRS20676128
SRR28246136,47079,,SRS20676127
SRR28246137,73457,,SRS20676126
SRR28246138,48308,,SRS20676125
SRR28246139,38754,,SRS20676123
SRR28246140,33421,,SRS20676124
SRR28246142,35989,,SRS20676121
SRR28246141,78420,,SRS20676122
SRR28246143,44508,,SRS20676120
SRR28246144,23595,,SRS20676119
SRR28246145,30638,,SRS20676118
SRR28246146,24881,,SRS20676116
SRR28246147,28734,,SRS20676117
SRR28246148,70793,,SRS20676115
SRR28246149,55219,,SRS20676113
SRR28246150,54873,,SRS20676114
SRR28246071,131501,,SRS20676191
SRR28246077,143384,,SRS20676185
SRR28246082,134006,,SRS20676181
SRR28246085,95030,,SRS20676178
SRR28246079,160652,,SRS20676184
SRR28246080,148295,,SRS20676183
SRR28246084,132810,,SRS20676179
SRR28246083,143045,,SRS20676180
SRR28246090,56497,,SRS20676173
SRR28246089,72882,,SRS20676174
SRR28246087,117979,,SRS20676176
SRR28246094,38519,,SRS20676169
SRR28246086,171805,,SRS20676175
SRR28246092,102632,,SRS20676170
SRR28246088,171179,,SRS20676177
SRR28246096,63584,,SRS20676166
SRR28246091,92152,,SRS20676172
SRR28246099,85506,,SRS20676163
SRR28246097,91208,,SRS20676167
SRR28246093,124072,,SRS20676171
SRR28246098,127793,,SRS20676165
SRR28246095,145810,,SRS20676168
